id,longitude,latitude,date,time
402,146.81607,-19.260342,12/16/2021,9:30
403,146.81535,-19.2493,12/16/2021,14:15
404,146.81535,-19.2493,12/16/2021,14:15
405,139.49533,-20.725153,12/16/2021,12:55
406,139.49123,-20.72585,12/16/2021,11:40
407,139.49435,-20.72493,12/16/2021,17:25
408,139.49167,-20.667826,12/16/2021,8:35
409,146.01387,-17.525272,12/16/2021,7:50
410,153.02603,-27.470453,12/16/2021,9:45
411,153.02603,-27.470453,12/16/2021,9:45
412,145.76138,-16.92777,12/16/2021,9:15
413,145.69626,-16.943144,12/16/2021,13:00
414,145.7554,-16.873123,12/16/2021,12:15
415,145.46547,-16.501669,12/16/2021,14:35
416,145.46289,-16.48202,12/16/2021,15:50
417,145.46744,-16.48812,12/16/2021,18:45
418,145.46286,-16.482086,12/16/2021,15:30
419,145.69426,-16.820213,12/16/2021,12:00
420,145.69194,-16.790556,12/16/2021,13:00
421,153.02446,-27.470346,12/15/2021,11:35
422,153.02777,-27.46853,12/15/2021,13:45
423,153.02414,-27.470222,12/15/2021,10:20
424,153.02576,-27.470345,12/15/2021,10:10
425,153.0284,-27.470926,12/15/2021,12:55
426,153.0257,-27.469673,12/15/2021,11:49
427,153.02426,-27.470201,12/15/2021,11:05
428,153.02531,-27.470024,12/15/2021,11:10
429,153.0259,-27.470022,12/15/2021,11:15
430,153.02487,-27.469418,12/15/2021,19:30
431,153.03616,-27.462435,12/15/2021,20:00
432,153.0278,-27.468506,12/15/2021,13:25
433,153.04987,-27.456419,12/15/2021,10:00
434,153.02847,-27.446978,12/15/2021,12:40
435,153.03986,-27.455223,12/15/2021,0:00
436,153.07373,-27.437868,12/15/2021,8:00
437,153.02328,-27.390394,12/15/2021,12:40
438,153.02269,-27.389664,12/15/2021,7:30
439,152.97122,-27.350142,12/15/2021,10:30
440,152.99675,-27.394297,12/15/2021,16:50
441,152.99306,-27.394196,12/15/2021,8:15
442,152.9741,-27.412018,12/15/2021,8:00
443,152.96054,-27.39723,12/15/2021,16:21
444,152.98248,-27.575178,12/15/2021,14:45
445,153.02403,-27.48247,12/15/2021,9:50
446,153.02315,-27.479269,12/15/2021,13:00
447,153.03459,-27.499573,12/15/2021,7:00
448,153.03683,-27.487513,12/15/2021,18:15
449,153.03546,-27.487265,12/15/2021,16:50
450,153.03532,-27.48688,12/15/2021,16:45
451,153.06316,-27.571274,12/15/2021,23:40
452,153.06316,-27.571274,12/15/2021,23:40
453,153.04433,-27.663565,12/15/2021,11:50
454,153.0635,-27.66339,12/15/2021,10:05
455,153.04326,-27.660639,12/15/2021,17:50
456,153.04414,-27.498156,12/15/2021,12:20
457,153.05597,-27.515146,12/15/2021,16:00
458,153.07974,-27.53663,12/15/2021,12:40
459,153.08223,-27.562614,12/15/2021,15:30
460,153.08438,-27.563742,12/15/2021,15:30
461,153.09244,-27.546066,12/15/2021,14:40
462,153.07974,-27.53663,12/15/2021,12:40
463,153.17184,-27.658512,12/15/2021,11:15
464,153.17116,-27.657162,12/15/2021,10:55
465,153.10242,-27.502928,12/15/2021,17:10
466,153.10231,-27.503065,12/15/2021,17:00
467,153.1017,-27.503288,12/15/2021,17:15
468,153.21913,-27.5229,12/15/2021,18:05
469,153.07848,-27.465942,12/15/2021,16:30
470,153.44586,-27.395048,12/15/2021,10:00
471,153.53587,-27.427576,12/15/2021,14:45
472,153.43835,-27.398432,12/15/2021,7:10
473,153.35437,-28.04973,12/15/2021,7:00
474,153.41544,-27.967756,12/15/2021,17:35
475,153.41551,-27.96859,12/15/2021,17:35
476,153.42802,-28.036402,12/15/2021,12:40
477,153.42741,-28.037066,12/15/2021,12:40
478,153.42648,-28.037281,12/15/2021,13:00
479,153.5081,-28.165842,12/15/2021,9:30
480,151.95566,-27.563116,12/15/2021,12:00
481,151.95566,-27.563116,12/15/2021,12:00
482,153.00067,-27.223436,12/15/2021,4:30
483,152.32489,-24.889874,12/15/2021,9:00
484,149.17882,-21.139496,12/15/2021,19:30
485,149.18605,-21.14193,12/15/2021,7:40
486,149.17886,-21.140566,12/15/2021,19:15
487,145.66873,-16.764853,12/15/2021,19:25
488,144.96306,-37.81363,12/15/2021,9:20
489,144.96306,-37.81363,12/15/2021,9:20
490,153.03374,-27.456202,12/14/2021,16:15
491,153.0332,-27.456678,12/14/2021,7:48
492,153.0332,-27.456678,12/14/2021,18:25
493,153.03986,-27.455223,12/14/2021,0:00
494,153.03305,-27.456768,12/14/2021,16:38
495,153.03305,-27.456768,12/14/2021,16:38
496,153.0261,-27.44926,12/14/2021,16:30
497,153.0332,-27.456678,12/14/2021,7:10
498,153.03363,-27.456196,12/14/2021,16:35
499,153.02982,-27.446283,12/14/2021,7:20
500,153.07373,-27.437868,12/14/2021,8:00
501,153.05507,-27.419394,12/14/2021,14:00
502,153.06052,-27.4091,12/14/2021,19:30
503,153.06052,-27.4091,12/14/2021,19:30
504,153.06052,-27.4091,12/14/2021,19:30
505,153.02269,-27.389664,12/14/2021,7:30
